# Riot Stars main-script translation batch 009
# script_unique.txt DATA lines 534-583 - 50 unique lines / 50 message instances / 2,913 JP chars.
#   "DATA line" = tools/queue.py script_rows() numbering: 1-based over script_unique.txt with
#   '#' comments and blank lines dropped.  FILE line (what grep -n prints) = data + 5, so this
#   unit is FILE lines 539-588.  glossary.md 9's wave-7 block uses the DATA index.
#   ALL FIFTY of this file's own line citations below are DATA lines.
# Banks: 7 (534-541, 8 inst), 8 (542-559, 18), 9 (560-571, 12), 10 (572-577, 6),
#   11 (578-581, 4), 12 (582-583, 2).  None of the four tight banks (41, 40, 5, 2) is touched.
# Theme: town and court NPCs - four more copies of the recruit-and-gossip skeleton
#   (glossary 42, batch_008), plus a ruined-village story scene and fort-guard gossip.
#   534-541  a LECLERC courtier (portrait 0x7D).  Old-fashioned, no contractions, no archaic
#            spelling - glossary 7's village-elders column, the same one 42.6 gives King Leverk.
#   542      a retainer: the King is out.  543-557  PRINCE HOAG in his new island town
#            (portrait 0x14), genial and uncontracted; 551-557 are his gossip and two choices.
#   558      Hoag greets the squad; 559  CAVIA (portrait 0x16), 14.6 register, no contractions.
#   560-571  the elder of an ancient Reese town (portrait 0x7C): archaic, uncontracted.
#            568 a quoted verse; 569/571 the Shadow Tablet errand; 570 the chosen one.
#   572-577  the ruined village: 573/575 a village woman, 574 the Dolgan/Annette/Hoag scene
#            (six portraits, seventeen speaker turns), 576 TORIF (portrait 0x15), 577 Hoag.
#   578-581  fort guards.  582-583  a shop greeting, one text in two portraits.
# Byte-identical reuse (gate 6 and house practice):
#   535 reuses batch_008 DATA 505's visible English exactly (different {FFE2}/{FFD5} args).
#   578/579/581 reuse batch_005's 984/985/988 visible English exactly (different tags).
#   556 == 557 and 582 == 583 in visible text; 571 is the byte-identical tail of 569's
#   pages 3-4; 564's two rows are byte-identical to 547's last two; 565 to 548 but for one
#   row; 573/576/577 share HOAG_TAIL rows byte-for-byte.
# Inserts: 534, 543, 555, 558, 559, 574 (x3), 575, 576, 577 carry {FFEC}{=00}{=00} - the
#   player-name insert, counted as 7 columns by assemble.py and rowcheck.py.
1	{FB00}{=01}{=7D}{=00}{=00}{FCB0}{=00}{=00}{=00}{=01}{FFF5}{FC51}おお、{FFEC}{=00}{=00}殿。{FFFE}我ら　ルクレールの民は{FFFE}みんな　あなた方に{FFFE}感謝しておりますぞ。{FCC0}{FFFE}ご用が　あれば{FFFE}遠慮せずに　申されよ。{FFFE}{FFF8}{=00}{=02}	{FB00}{=01}{=7D}{=00}{=00}{FCB0}{=00}{=00}{=00}{=01}{FFF5}{FC51}Ｏｈ，　{FFEC}{=00}{=00}．{FFFE}Ｗｅ　ｐｅｏｐｌｅ　ｏｆ　Ｌｅｃｌｅｒｃ{FFFE}ａｒｅ　ｏｎｅ　ａｎｄ　ａｌｌ{FFFE}ｇｒａｔｅｆｕｌ　ｔｏ　ｙｏｕ．{FCC0}{FFFE}Ｉｆ　ｙｏｕ　ｈａｖｅ　ａｎ　ｅｒｒａｎｄ，{FFFE}ｓｐｅａｋ　ｉｔ　ｆｒｅｅｌｙ．{FFFE}{FFF8}{=00}{=02}
1	{FFDF}{FFE2}{=00}{=3B}{=00}{=09}{FB01}どれが　よろしいかな？{FFFE}{FFFA}{=00}{=00}{FFFB}{=00}{=05}{FFF6}{=00}{=00}{=00}{=06}{FFD5}{=00}{=08}{FFF8}{=00}{=04}	{FFDF}{FFE2}{=00}{=3B}{=00}{=09}{FB01}Ｗｈｉｃｈ　ｗｏｕｌｄ　ｓｕｉｔ　ｙｏｕ？{FFFE}{FFFA}{=00}{=00}{FFFB}{=00}{=05}{FFF6}{=00}{=00}{=00}{=06}{FFD5}{=00}{=08}{FFF8}{=00}{=04}
1	{FB01}{FFEB}{FFE4}{FFE3}騎士道に　基づき{FFFE}育てられた兵士たちです。{FFFE}必ずや　{FFFE}お力に　なりましょう！{FCC0}{FFF8}{=00}{=0A}	{FB01}{FFEB}{FFE4}{FFE3}Ｔｈｅｓｅ　ｓｏｌｄｉｅｒｓ　ｗｅｒｅ{FFFE}ｒｅａｒｅｄ　ｉｎ　ｃｈｉｖａｌｒｙ．{FFFE}Ｔｈｅｙ　ｗｉｌｌ　ｗｉｔｈｏｕｔ　ｆａｉｌ{FFFE}ｂｅ　ｏｆ　ｈｅｌｐ　ｔｏ　ｙｏｕ！{FCC0}{FFF8}{=00}{=0A}
1	{FB01}そうですか。{FFFE}おやめに　なりますか。{FFFE}{FCC0}{FFF8}{=00}{=0A}	{FB01}Ｉ　ｓｅｅ．{FFFE}Ｙｏｕ　ｌｅａｖｅ　ｉｔ，　ｔｈｅｎ．{FFFE}{FCC0}{FFF8}{=00}{=0A}
1	{FB01}申し訳ない。　我らは、{FFFE}帝国の　圧制から{FFFE}やっと　独立したばかり。{FFFE}外の動きは分かりません。{FC30}{FFF8}{=00}{=0A}	{FB01}Ｆｏｒｇｉｖｅ　ｍｅ．　Ｗｅ　ｈａｖｅ{FFFE}ｏｎｌｙ　ｊｕｓｔ　ｗｏｎ　ｆｒｅｅ　ｏｆ{FFFE}ｔｈｅ　Ｅｍｐｉｒｅ’ｓ　ｔｙｒａｎｎｙ．{FFFE}Ｌｉｔｔｌｅ　ｎｅｗｓ　ｒｅａｃｈｅｓ　ｕｓ．{FC30}{FFF8}{=00}{=0A}
1	{FB01}ん？　ジュエルが{FFFE}少々　足りんようですな。{FFFE}またの　機会に{FFFE}されては　どうかな。{FC30}{FFF8}{=00}{=0A}	{FB01}Ｈｍ？　Ｙｏｕ　ｓｅｅｍ　ａ　ｌｉｔｔｌｅ{FFFE}ｓｈｏｒｔ　ｏｆ　Ｊｅｗｅｌｓ．{FFFE}Ｍｉｇｈｔ　ｙｏｕ　ｃｏｍｅ　ｂａｃｋ{FFFE}ａｎｏｔｈｅｒ　ｔｉｍｅ？{FC30}{FFF8}{=00}{=0A}
1	{FB01}これだけ　いて{FFFE}まだ　満足なさらんか？{FFFE}しかし　これ以上の{FFFE}補充は　無理ですな。{FC30}{FFF8}{=00}{=0A}	{FB01}Ｗｉｔｈ　ｔｈｉｓ　ｍａｎｙ，　ａｒｅ　ｙｏｕ{FFFE}ｎｏｔ　ｙｅｔ　ｃｏｎｔｅｎｔ？{FFFE}Ｈｏｗｅｖｅｒ，　ｔｈｅｒｅ　ｉｓ　ｎｏ{FFFE}ｒｏｏｍ　ｔｏ　ｒｅｃｒｕｉｔ　ｍｏｒｅ．{FC30}{FFF8}{=00}{=0A}
1	{FB01}そうですか。{FFFE}では、お気をつけて！{FFFE}{FC30}{FFF5}	{FB01}Ｉ　ｓｅｅ．{FFFE}Ｄｏ　ｔａｋｅ　ｃａｒｅ，　ｔｈｅｎ！{FFFE}{FC30}{FFF5}
1	{FFC2}{=00}{=02}{FB00}{=01}{=70}{=00}{=00}{FCB0}{=00}{=00}{=00}{=01}{FC51}王は　ただいま{FFFE}外出しておられる。{FFFE}出直して来られよ。{FC30}{FFC2}{=00}{=01}	{FFC2}{=00}{=02}{FB00}{=01}{=70}{=00}{=00}{FCB0}{=00}{=00}{=00}{=01}{FC51}Ｔｈｅ　Ｋｉｎｇ　ｉｓ　ａｗａｙ{FFFE}ａｔ　ｐｒｅｓｅｎｔ．{FFFE}Ｃｏｍｅ　ａｇａｉｎ　ｌａｔｅｒ．{FC30}{FFC2}{=00}{=01}
1	{FFC2}{=00}{=02}{FB00}{=00}{=14}{=00}{=00}{FB00}{=00}{=00}{=00}{=01}{FCB0}{=00}{=00}{=00}{=01}{FC51}おお、{FFEC}{=00}{=00}。{FFFE}９軍の　みんなも{FFFE}元気か！！{FFFE}{FCC0}{FFF8}{=00}{=02}	{FFC2}{=00}{=02}{FB00}{=00}{=14}{=00}{=00}{FB00}{=00}{=00}{=00}{=01}{FCB0}{=00}{=00}{=00}{=01}{FC51}Ｏｈ，　{FFEC}{=00}{=00}．{FFFE}Ａｎｄ　ａｌｌ　ｔｈｅ　９ｔｈ　Ａｒｍｙ，{FFFE}ａｒｅ　ｙｏｕ　ｗｅｌｌ！！{FFFE}{FCC0}{FFF8}{=00}{=02}
1	{FC51}{FB01}{FFF5}で、今日は　どうした？{FFFE}{FFF8}{=00}{=03}	{FC51}{FB01}{FFF5}Ｎｏｗ，　ｗｈａｔ　ｉｓ　ｉｔ　ｔｏｄａｙ？{FFFE}{FFF8}{=00}{=03}
